Sample,Treatment,Time,i15:0,a15:0,i16:0,16:1w7,16:1w5, 16:0,10Me 16:0,i17:0,a17:0,cy17:0,10Me 17:0,"18:2w6,9",18:1w9 cis,18:1w9 trans,18:1wX, 18:0,10Me 18:0,cy19:0
a1L,Ambient,Drought,0.625216713,0.614201032,0.400624253,0.589230644,0.497672554,0.644105055,0.199601925,0.561386709,0.257495952,0.204215717,0.13475195,0.519834875,0.562701338,0.39646378,0.442513558,0.189125191,0.197587168,0.045745046
a2L,Ambient,Drought,0.716458121,0.639976809,0.338666269,0.505261544,0.756379256,0.705912013,0.21914455,0.601430268,0.435748871,0.199303567,0.181607556,0.362311303,0.415379198,0.298055319,0.349363431,0.231858288,0.155271238,0.03870263
a3L,Ambient,Drought,0.508254812,0.554088925,0.292236513,0.448916095,0.293736466,0.632589785,0.197183328,0.500334762,0.247326028,0.18657041,0.15995129,0.172950038,0.307719242,0.36708816,0.384906385,0.204572354,0.153110903,0.047359232
a4L,Ambient,Drought,0.742052901,0.86075208,0.604603271,0.807718471,0.701522946,1.082914599,0.338773563,0.759057367,0.412296058,0.382601765,0.220214431,0.7922713,1.024512217,0.803416409,0.944949224,0.402285587,0.394458852,0.108932744
aD1L,Drought,Drought,0.17672657,0.416577584,0.586347149,0.268579615,0.137612316,0.256833438,0.122340999,0.174803182,0.242932294,0.132507939,0.132057648,0.65786953,0.448545068,0.176176571,0.194146421,0.146840076,0.18800959,0.032987073
aD2L,Drought,Drought,0.121642682,0.228678467,0.297279114,0.15728055,0.103113176,0.212698658,0.096010682,0.165244733,0.176578501,0.109489024,0.123446439,0.325267894,0.288089919,0.172282923,0.180272827,0.13107945,0.170919655,0.037576666
aD3L,Drought,Drought,0.15490223,0.353089274,0.722136749,0.318180507,0.187316825,0.435859789,0.155747548,0.23119304,0.432610294,0.206556663,0.253614876,0.838382526,0.739419176,0.298661039,0.309788389,0.229415621,0.362619197,0.073725927
aD4L,Drought,Drought,0.075313329,0.18605027,0.346894351,0.158562833,0.17016507,0.255233146,0.103848213,0.118146179,0.162974317,0.100892229,0.087583876,0.3684152,0.327882877,0.178232978,0.230226165,0.117738125,0.169258996,0.039780475
aF1L,Future,Drought,0.298827716,0.456942387,0.124298561,0.304207649,0.451193348,0.659167361,0.33519967,0.403887704,0.411877131,0.36524532,0.348820107,0.218394817,0.348038976,0.350099102,0.377159715,0.291894104,0.208038392,0.11659884
aF2L,Future,Drought,0.553720291,0.725775639,0.232318911,0.570755495,0.852000474,1.152232808,0.546312841,0.570626782,0.575121021,0.481522861,0.444953269,0.36695945,0.529279782,0.524305014,0.511202001,0.431657186,0.286792521,0.16031026
aF3L,Future,Drought,0.426427501,0.573092708,0.183488055,0.373559661,0.511589051,0.777838983,0.389688287,0.509015676,0.510461055,0.409110834,0.375755607,0.298957526,0.414660745,0.407273015,0.430238241,0.337800474,0.219942054,0.125299763
aF4L,Future,Drought,0.362124333,0.486756912,0.183608926,0.342511284,0.445191996,0.680685787,0.327307901,0.44310614,0.434293237,0.363742854,0.335996467,0.263255185,0.377104767,0.384110499,0.41779075,0.302522015,0.204094476,0.103750437
aFD1L,Future + Drought,Drought,0.077826838,0.164141983,0.354891943,0.225088547,0.199246079,0.40850888,0.173614517,0.155067827,0.224065263,0.179100671,0.217204316,0.357388964,0.344651296,0.160350886,0.169826024,0.326982078,0.284920695,0.095746018
aFD2L,Future + Drought,Drought,0.104539247,0.24335835,0.41383101,0.256836034,0.242876819,0.291722361,0.151708538,0.175202083,0.260641437,0.205702566,0.208511067,0.568155437,0.414559815,0.20232924,0.247054432,0.197152123,0.239638843,0.074054381
aFD3L,Future + Drought,Drought,0.119878166,0.310628912,0.525263181,0.314706206,0.292006581,0.375475319,0.188284074,0.202136986,0.322449682,0.261896533,0.226688349,0.534880078,0.446199586,0.256596311,0.295820208,0.219364659,0.288129639,0.104490089
