Sample,Treatment,Time,i15:0,a15:0,i16:0,16:1w7,16:1w5, 16:0,10Me 16:0,i17:0,a17:0,cy17:0,10Me 17:0,"18:2w6,9",18:1w9 cis,18:1w9 trans,18:1wX, 18:0,10Me 18:0,cy19:0
a1L,Ambient,Drought,165.1577563,118.5771156,115.7211958,187.9874085,126.6853974,605.6102527,313.2081506,70.61829613,53.27657904,104.1622838,31.55507002,80.73396821,376.3214319,551.1451123,64.40198603,266.7748212,137.66839,305.1882159
a2L,Ambient,Drought,163.2887534,119.24614,111.8004265,151.3855754,124.7547158,594.0169836,287.2619141,70.05119097,55.96273145,88.29385721,44.1079878,81.83922109,399.9134034,516.5260335,55.17338171,220.196945,138.6784701,329.1103397
a3L,Ambient,Drought,129.5931258,108.1638844,94.17051616,170.2665887,115.9036065,555.041252,263.5115081,62.06191446,50.24781291,88.86074853,41.00513213,101.7008979,346.6575635,511.2965276,58.54851059,194.8438562,139.6122393,252.8503392
a4L,Ambient,Drought,131.8490704,112.121539,92.3590288,171.7064708,130.5464231,560.9852635,259.1829286,60.05778925,49.24351416,85.67355597,29.5899661,120.2363727,356.4920004,504.3113823,54.60893486,192.1923178,133.863715,243.9247467
aD1L,Drought,Drought,119.0061175,98.42436417,106.775496,108.4872761,78.0168688,495.3598458,232.0297927,53.37060664,47.45823761,73.31046504,30.24499956,117.4302377,374.1999947,419.5935529,43.08568495,158.6467885,112.4306774,273.7514208
aD2L,Drought,Drought,100.2474089,98.57123027,88.55038284,108.2074284,87.83173973,460.9649428,242.2903602,50.94425789,44.07048151,78.1919372,37.84619577,90.65807039,316.3353657,404.9427349,44.75271417,120.2220591,127.9888112,222.2369355
aD3L,Drought,Drought,120.0321091,112.5080294,99.85045215,124.3340881,103.4098036,457.3716848,279.5993412,54.73143218,50.66994848,83.83217696,32.69473334,95.18389844,332.1992506,431.6783216,50.89059436,145.437243,143.9599322,239.61622
aD4L,Drought,Drought,58.51469519,51.72317419,61.67619863,51.40711091,34.94122387,265.9833004,145.8767647,32.3921254,27.96354085,45.72482746,26.51940598,51.72948204,214.7860556,244.8566077,29.14441816,76.2720748,100.6263778,173.0486589
aF1L,Future,Drought,103.4959554,85.53344991,74.27443165,116.8404428,109.0665704,444.1287389,236.8781038,55.28032093,45.05387028,69.13673078,31.45940912,50.02161256,240.6987768,367.2635359,51.55233143,163.3409846,111.9250812,220.0176963
aF2L,Future,Drought,165.3292366,136.3340372,120.4543381,217.7766983,190.0752711,623.640294,265.8273204,79.8682712,66.58802578,112.1630968,41.42372937,91.50787236,373.3204293,539.9000936,63.67281863,214.5491575,137.1173157,291.2954081
aF3L,Future,Drought,123.7007498,98.43774527,101.1230506,129.5330151,118.6530945,519.5110136,221.7235113,65.01395865,55.13498523,89.32811689,43.11030115,81.38142913,305.4216342,445.7338087,53.54012654,166.0627504,108.0532154,243.2402541
aF4L,Future,Drought,109.3305786,88.48995892,95.49310753,112.0385973,99.63213139,442.6422197,233.4074882,58.62765489,50.5808933,76.84057989,37.18370221,61.13158798,251.8806752,377.1799327,42.56831647,153.9118966,125.8958739,239.5126765
aFD1L,Future + Drought,Drought,148.2406174,138.6270077,125.2432343,144.2154634,135.455376,592.8099406,269.2521463,69.36897632,64.86450743,103.1752684,46.53526983,310.3938831,445.8372604,522.3589136,64.8890471,191.1146071,137.2279032,314.2965945
aFD2L,Future + Drought,Drought,104.8016513,104.3383135,108.7955439,107.1821641,99.15266357,483.0115053,206.2026765,53.40674335,55.07713287,85.5457505,38.84380526,117.3796652,367.0175908,405.0643646,48.58686234,107.6181931,130.6132437,258.4145066
aFD3L,Future + Drought,Drought,81.8828591,66.55001577,79.97466521,85.91998264,73.64049392,349.7664419,176.1600411,43.1788053,40.27733452,58.50714623,36.73711593,67.71538033,236.2350588,278.9803375,44.67868259,107.0939142,117.9788753,194.2024563
aFD4L,Future + Drought,Drought,97.31642844,83.18893365,110.0267115,96.58285448,82.91338285,419.8959355,182.7066852,49.87973152,48.50090406,65.62270779,43.54755672,90.51778598,355.933129,373.6016785,42.47675083,126.8217351,128.9662608,276.0234065
aD1.rL,Drought - Rewet,Rewet,144.6013795,116.5516474,144.9319367,166.086416,90.77223225,609.0832732,274.5019041,63.55573103,57.3803799,86.31426113,41.21616669,150.2203591,454.9553075,529.3402949,49.60879496,151.8632373,145.3276777,297.6578583
aD2.rL,Drought - Rewet,Rewet,98.30030111,89.85785566,95.27290671,106.0543966,72.67621346,407.7392097,242.7868574,50.79834221,44.60426478,76.75822665,38.61659654,90.37082272,311.9802477,410.1607402,42.70953458,96.75478698,141.2011439,217.559023
aD3.rL,Drought - Rewet,Rewet,110.4208625,100.4213403,99.51064922,113.370453,77.36131806,386.1637469,270.628549,51.15065896,45.30382874,78.72022598,34.56854842,93.35451463,308.8739451,414.3932287,46.08139466,57.74906358,144.586085,206.4004816
aD4.rL,Drought - Rewet,Rewet,51.66700859,43.89989862,60.82106456,49.64898784,31.76066167,251.7310363,136.560283,30.20425685,26.48538414,42.16609189,29.71039818,42.38036474,191.8903398,241.8510563,25.97820004,34.82362516,104.232328,152.3223705
aFD1.rL,Future + Drought - Rewet,Rewet,178.7920975,156.8918516,157.737689,199.2591956,143.3031338,645.8212631,330.0015936,85.09856482,77.51364686,117.7654885,60.20907148,121.0861998,450.9360192,595.0135753,68.59592948,193.6895121,165.7242671,331.1123824
aFD2.rL,Future + Drought - Rewet,Rewet,126.7929896,120.3107614,132.2199365,130.3889724,100.1056751,573.8236955,232.799805,65.23579949,65.6487518,99.83050035,38.89335621,126.7475027,395.7899932,485.3645374,50.74694809,148.0576462,183.7146491,268.0391062
aFD3.rL,Future + Drought - Rewet,Rewet,82.92039918,65.27826026,82.82352735,89.92241768,66.19495598,379.1151779,182.3273608,45.63249245,42.2220541,62.00059299,24.98442351,63.00769536,237.2569645,305.0958502,32.01612638,92.68665446,123.0055387,189.135639
aFD4.rL,Future + Drought - Rewet,Rewet,102.9208536,82.1028805,119.9313167,93.09358473,72.92200601,428.3677796,183.1055966,52.91797129,51.36171922,68.98348893,39.83601011,74.23920234,314.9337561,368.8402682,38.0314508,81.99558419,160.4660703,243.7227666
b1L,Ambient,Recovery,103.191596,80.34297647,81.20090046,116.366552,100.1480777,433.2711625,196.4267507,50.51369544,42.67831931,67.74589263,23.87830506,96.67269825,287.020274,372.9379492,46.08365855,147.1160611,87.66715291,201.3157031
b2L,Ambient,Recovery,131.3103053,104.3862151,89.30919637,139.0272318,117.0923309,517.5701207,248.6781556,63.62557402,51.28345161,85.89517976,32.31652327,89.61977823,329.9930479,448.4022816,53.79768073,191.0529754,105.973381,276.9849781
b3L,Ambient,Recovery,130.1736698,108.2970809,84.00804049,181.8627281,116.3717206,593.2529241,280.8894817,59.45719379,50.92924109,86.90665851,35.37697891,364.548321,399.1773639,474.0513541,56.54960172,186.1345744,120.4527096,213.504878
b4L,Ambient,Recovery,110.1056595,94.11076892,76.84723519,132.1623504,102.6359229,461.5144596,273.1110756,60.42547087,49.11940173,78.45655417,30.28024163,87.56389993,279.3758779,431.8625696,55.35741285,144.0927183,91.52574174,259.0825403
bD1L,Drought,Recovery,166.1212965,136.0765833,119.1588224,180.6408748,129.0471082,573.236393,319.1528403,72.60901023,63.98669348,98.4402932,49.19477014,114.2199375,381.3945392,528.1358053,53.15670275,145.0014903,128.1913874,311.6647339
bD2L,Drought,Recovery,120.8910422,110.1873394,92.95870895,148.869858,111.5354043,462.8064574,292.6588003,61.04469712,52.50690253,89.52776338,35.1139585,87.49292482,306.2356843,441.8040201,51.73674229,138.524225,118.3103159,260.2606621
bD3L,Drought,Recovery,157.1601564,128.1885488,112.6899841,206.0785589,133.7387115,579.0666345,305.8050724,69.29435479,59.52336272,110.7205806,32.44852328,130.3050152,406.6143363,538.4431669,60.68102073,162.2721922,163.3256317,255.8991479
bD4L,Drought,Recovery,103.2765789,86.00032754,108.573399,145.0967526,119.0740224,463.8900749,178.1720907,56.85989966,53.78969418,85.47217212,36.26816131,128.9073279,309.6624986,366.059667,35.4081586,89.75303056,150.2601403,192.216545
bF1L,Future,Recovery,113.4169378,86.36991063,88.53306099,114.4466465,89.57855189,460.7060796,226.363765,56.53370061,47.58750947,70.86091284,27.00756107,100.0547863,259.2952178,387.0028542,45.4439943,150.7861117,125.9281502,224.3921322
bF2L,Future,Recovery,148.7081353,132.4615536,98.3620615,185.6898716,140.1187712,550.9558016,299.6339238,73.55542949,59.90421203,96.57769022,49.33958706,135.7834076,330.9498084,472.386606,59.05703088,186.8496897,118.2721247,296.2115786
bF3L,Future,Recovery,168.0494923,142.9778651,124.9079109,189.3840873,143.3291145,620.3956848,291.6543444,78.74270277,67.88064152,116.9108618,52.65625556,134.2823127,391.8430404,523.3411543,60.78199594,200.6984552,143.6640269,300.7792581
bF4L,Future,Recovery,142.998085,130.0730098,102.3370466,182.7275501,142.0229241,540.3519672,233.7047176,70.81805272,59.69505335,100.4467112,48.54373893,115.1922596,335.8451808,484.6237034,56.34210952,187.4430357,142.501673,264.7593488
bFD1L,Future + Drought,Recovery,168.544966,141.7738593,130.6653714,163.7644728,131.8403898,643.6750857,335.5990982,78.53591108,67.05447256,107.9191657,58.3010996,218.9335819,410.1152093,547.3583836,57.79603206,175.3953462,167.8959021,302.4764036
bFD2L,Future + Drought,Recovery,141.6486606,130.7226396,124.718278,118.0089255,93.70850928,541.7687369,246.3135199,66.8527679,64.81947872,96.20596522,44.08120084,94.39977277,373.6602319,497.8214809,51.35012262,145.323142,165.9182327,301.5118042
bFD3L,Future + Drought,Recovery,148.566204,120.5292518,120.5460553,165.267106,116.8523133,551.8845341,278.4368364,68.40550822,60.4531915,97.2175608,52.70885401,138.8320586,364.7986456,470.7858528,52.15967867,144.7397036,158.5789595,260.8709554
bFD4L,Future + Drought,Recovery,151.8988118,111.7801049,144.1213363,117.2578736,89.40053281,536.7212038,238.0601728,67.89839752,61.2154146,86.76213838,48.28007917,95.29944184,368.5622717,472.2385933,49.47426581,142.3983468,162.0393132,329.1843794
