Identifier 1,period,drought,future climate,facet,Label,i15:0,a15:0,i16:0,16:1w7,16:1w5, 16:0,10Me 16:0,i17:0,a17:0,cy17:0,10Me 17:0,"18:2w6,9",18:1w9 cis,18:1w9 trans,18:1wX, 18:0,10Me 18:0,cy19:0
PLFA_a1,drought,control,control,Ambient,labelled,0.262223,0.256976,0.17314,0.248059,0.211269,0.269513,0.093137,0.237111,0.116503,0.095109,0.06874,0.220659,0.237601,0.170515,0.186779,0.08894,0.092393,0.031555
PLFA_a2,drought,control,control,Ambient,labelled,0.298362,0.267224,0.148705,0.214833,0.314117,0.294105,0.10097,0.252734,0.187157,0.093044,0.086395,0.157784,0.179107,0.1313,0.149289,0.105939,0.075402,0.028689
PLFA_a3,drought,control,control,Ambient,labelled,0.215865,0.233448,0.130045,0.192176,0.129958,0.264902,0.09198,0.212735,0.112287,0.088177,0.077444,0.082504,0.136193,0.158872,0.163746,0.095031,0.074485,0.03232
PLFA_a4,drought,control,control,Ambient,labelled,0.308721,0.3552,0.254174,0.334741,0.292116,0.443959,0.148328,0.315677,0.177729,0.165809,0.101992,0.328628,0.42108,0.332299,0.386397,0.173606,0.170472,0.056763
PLFA_aD1,drought,drought,control,Drought,labelled,0.068711,0.142519,0.196109,0.096975,0.055211,0.09324,0.051638,0.068352,0.089513,0.054963,0.054772,0.218188,0.153315,0.067529,0.070743,0.05932,0.072235,0.023603
PLFA_aD2,drought,drought,control,Drought,labelled,0.052023,0.084836,0.106523,0.063023,0.046019,0.080257,0.043738,0.065356,0.069098,0.048256,0.052675,0.115243,0.10396,0.066888,0.067433,0.054674,0.066923,0.025128
PLFA_aD3,drought,drought,control,Drought,labelled,0.061057,0.122091,0.23745,0.11163,0.070482,0.148028,0.061023,0.084476,0.147256,0.076636,0.091197,0.273234,0.242662,0.104616,0.106559,0.083772,0.124915,0.034954
PLFA_aD4,drought,drought,control,Drought,labelled,0.03648,0.070556,0.121236,0.062284,0.064492,0.092045,0.045334,0.050036,0.063548,0.044747,0.040911,0.127789,0.115159,0.067674,0.083274,0.04949,0.065498,0.024888
PLFA_aF1,drought,control,future climate,Future Climate,labelled,0.153329,0.226392,0.07212,0.155603,0.223712,0.320678,0.169834,0.201926,0.20564,0.18393,0.176785,0.115943,0.176228,0.176417,0.187385,0.149641,0.110444,0.068026
PLFA_aF2,drought,control,future climate,Future Climate,labelled,0.271833,0.351356,0.122595,0.279968,0.410795,0.550796,0.268481,0.28002,0.282064,0.238661,0.222072,0.184987,0.26071,0.257567,0.249937,0.214762,0.147473,0.088358
PLFA_aF3,drought,control,future climate,Future Climate,labelled,0.212518,0.280437,0.099464,0.187844,0.251858,0.376154,0.19517,0.250387,0.251208,0.204121,0.188613,0.153056,0.20719,0.203,0.212245,0.171001,0.11622,0.072047
PLFA_aF4,drought,control,future climate,Future Climate,labelled,0.182881,0.240611,0.099384,0.173357,0.220893,0.330887,0.165922,0.219812,0.215793,0.182858,0.170453,0.135929,0.189601,0.19214,0.2064,0.154514,0.108415,0.061835
PLFA_aFD1,drought,drought,future climate,Future Climate + Drought,labelled,0.043822,0.076436,0.149906,0.099923,0.089591,0.170212,0.080156,0.073081,0.099689,0.082533,0.097346,0.15099,0.1462,0.074465,0.077096,0.139078,0.122893,0.050303
PLFA_aFD2,drought,drought,future climate,Future Climate + Drought,labelled,0.053925,0.106635,0.172772,0.112258,0.106507,0.125397,0.071811,0.08103,0.113922,0.092715,0.093857,0.232018,0.173091,0.090562,0.10681,0.089241,0.105653,0.042101
PLFA_aFD3,drought,drought,future climate,Future Climate + Drought,labelled,0.05965,0.132279,0.215139,0.134316,0.125019,0.157489,0.085627,0.090711,0.137162,0.113813,0.101184,0.219556,0.185275,0.111657,0.125323,0.097874,0.124057,0.053386
PLFA_aFD4,drought,drought,future climate,Future Climate + Drought,labelled,0.020389,0.023311,0.067164,0.046416,0.051225,0.069157,0.036761,0.031255,0.045292,0.03756,0.05402,0.158462,0.098833,0.05353,0.070268,0.059486,0.045697,0.025514
PLFA_na_a1,drought,control,control,Ambient,natural abundance,0.013968,0.013095,0.014064,0.014093,0.013658,0.013758,0.013881,0.014201,0.014259,0.014021,0.015234,0.014248,0.014169,0.013091,0.01107,0.013844,0.013937,0.013391
PLFA_na_a2,drought,control,control,Ambient,natural abundance,0.013779,0.01302,0.014184,0.014139,0.013677,0.013711,0.013924,0.013841,0.014074,0.013879,0.014259,0.013871,0.014115,0.01291,0.010519,0.013843,0.013727,0.013316
PLFA_na_a3,drought,control,control,Ambient,natural abundance,0.013912,0.013283,0.013926,0.013801,0.013243,0.013545,0.01363,0.013929,0.014013,0.014044,0.013888,0.013783,0.013922,0.013011,0.010805,0.013745,0.013647,0.013502
PLFA_na_a4,drought,control,control,Ambient,natural abundance,0.013767,0.013065,0.013854,0.013686,0.013272,0.013518,0.013671,0.013964,0.013848,0.013731,0.014460333,0.013713,0.013853,0.012954,0.010795,0.013704,0.013681,0.013464
PLFA_na_aD1,drought,drought,control,Drought,natural abundance,0.013765,0.013001,0.013808,0.013471,0.012426,0.013388,0.013601,0.014004,0.013983,0.013765,0.013714,0.01365,0.013858,0.012754,0.010381,0.013666,0.013781,0.013347
PLFA_na_aD2,drought,drought,control,Drought,natural abundance,0.01419,0.013713,0.014064,0.014106,0.013949,0.014104,0.013877,0.013962,0.014179,0.014203,0.014281,0.014079,0.014359,0.013305,0.011365,0.013906,0.013764,0.013441
PLFA_na_aD3,drought,drought,control,Drought,natural abundance,0.012863,0.012236,0.012775,0.012636,0.012203,0.012421,0.012566,0.012546,0.01266,0.012371,0.012291,0.012392,0.01261,0.011695,0.010176,0.012395,0.012095,0.012016
PLFA_na_aD4,drought,drought,control,Drought,natural abundance,0.01304,0.012651,0.013271,0.012934,0.011531,0.012608,0.013013,0.013265,0.012825,0.013346,0.013652,0.013126,0.013111,0.012202,0.01162,0.012846,0.012819,0.012507
PLFA_na_aF1,drought,control,future climate,Future Climate,natural abundance,0.014078,0.013461,0.014198,0.013845,0.01346,0.013512,0.013634,0.013718,0.013709,0.013729,0.014238,0.014173,0.014045,0.013274,0.011632,0.013621,0.0135,0.013692
